Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Faroe Islands,FRO,0.0016,0.0018,0.002,0.002,0.002,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Fiji,FJI,1.0082,1.4433,1.6172,1.5925,1.5406,1.6549,1.619,1.0743,1.3427,1.4343,1.4378,1.5067
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Finland,FIN,56.2262,57.5279,45.9758,48.8071,46.0759,47.4392,44.1412,39.474,39.3124,37.1238,32.8867,31.1074
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,France,FRA,384.9829,400.866,332.1533,334.7732,338.709,328.5501,322.9043,287.0868,316.7044,307.6802,284.1541,274.4505
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,French Polynesia,PYF,0.8466,0.7097,1.0058,1.0079,0.8808,0.7829,0.785,0.715,0.64,0.9258,0.9282,0.9739
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Gabon,GAB,6.1713,6.6039,6.4413,6.559,5.7489,5.4109,5.6528,5.5287,5.3647,5.5833,5.1205,5.1985
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Gambia, The",GMB,0.1226,0.2662,0.509,0.5138,0.5236,0.4603,0.465,0.422,0.4776,0.4949,0.4738,0.4923
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Georgia,GEO,34.4907,5.2126,10.647,11.0252,11.1709,11.137,11.9227,11.5406,12.3432,13.463,13.5563,13.4674
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Germany,DEU,1012.7016,871.3847,784.9143,789.2489,774.4767,746.6974,696.5002,642.0878,670.667,658.0886,589.6596,579.9356
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Ghana,GHA,3.1311,6.0172,15.6106,16.04,17.3725,19.0565,20.2766,22.9458,24.4916,23.7878,23.2246,24.171
